RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =          594     M =           20

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.040D-01  7.916D+00
    1    3     1     0  ---    1  7.1D-02  1.5D-01  3.762D+00  7.755D+00
    2    5     0     0  con    1  1.0D-01  1.6D-02  2.777D+00  7.739D+00
    3    6     0     0  con    0  1.0D+00  1.2D-02  1.245D+00  7.730D+00
    4    7     0     0  con    0  1.0D+00  1.8D-02  1.334D+00  7.717D+00
    5    8     0     0  con    0  1.0D+00  2.2D-02  2.739D+00  7.702D+00
    6    9     0     0  con    0  1.0D+00  2.0D-02  2.516D+00  7.685D+00
    7   10     0     0  con    0  1.0D+00  1.9D-02  1.926D+00  7.666D+00
    8   11     0     0  con    0  1.0D+00  2.0D-02  2.227D+00  7.650D+00
    9   12     0     0  con    0  1.0D+00  1.2D-02  1.617D+00  7.637D+00
   10   13     0     0  con    0  1.0D+00  1.4D-02  1.213D+00  7.625D+00
   11   14     0     0  con    0  1.0D+00  2.2D-02  2.157D+00  7.614D+00
   12   15     0     0  con    0  1.0D+00  1.6D-02  1.491D+00  7.603D+00
   13   16     0     0  con    0  1.0D+00  1.0D-02  1.020D+00  7.594D+00
   14   17     0     0  con    0  1.0D+00  1.8D-02  1.954D+00  7.583D+00
   15   18     0     0  con    0  1.0D+00  1.5D-02  2.287D+00  7.575D+00
   16   19     0     0  con    0  1.0D+00  5.0D-03  1.337D+00  7.567D+00
   17   20     0     0  con    0  1.0D+00  1.4D-02  1.051D+00  7.557D+00
   18   21     0     0  con    0  1.0D+00  1.4D-02  2.565D+00  7.551D+00
   19   22     0     0  con    0  1.0D+00  1.1D-02  1.635D+00  7.544D+00
   20   23     0     0  con    0  1.0D+00  1.9D-02  1.400D+00  7.536D+00
   21   24     0     0  con    0  1.0D+00  9.1D-03  1.450D+00  7.532D+00
   22   25     0     0  con    0  1.0D+00  1.8D-03  1.175D+00  7.528D+00
   23   26     0     0  con    0  1.0D+00  5.8D-03  5.119D-01  7.522D+00
   24   27     0     0  con    0  1.0D+00  7.5D-03  4.819D-01  7.519D+00
   25   28     0     0  con    0  1.0D+00  2.1D-02  3.552D+00  7.516D+00
   26   29     0     0  con    0  1.0D+00  6.4D-03  5.861D-01  7.509D+00
   27   30     0     0  con    0  1.0D+00  2.0D-03  5.445D-01  7.507D+00
   28   31     0     0  con    0  1.0D+00  7.5D-03  8.184D-01  7.503D+00
   29   32     0     0  con    0  1.0D+00  1.4D-02  1.560D+00  7.503D+00
   30   33     0     0  con    0  1.0D+00  1.2D-03  7.722D-01  7.498D+00
   31   34     0     0  con    0  1.0D+00  3.7D-03  3.628D-01  7.495D+00
   32   35     0     0  con    0  1.0D+00  7.8D-03  6.083D-01  7.492D+00
   33   36     0     0  con    0  1.0D+00  1.0D-02  6.749D-01  7.488D+00
   34   38     0     0  con    1  3.3D-01  9.5D-03  7.351D-01  7.486D+00
   35   39     0     0  con    0  1.0D+00  1.3D-02  4.185D-01  7.482D+00
   36   40     0     0  con    0  1.0D+00  4.8D-03  3.393D-01  7.480D+00
   37   41     0     0  con    0  1.0D+00  7.9D-03  5.047D-01  7.477D+00
   38   42     0     0  con    0  1.0D+00  6.1D-03  8.345D-01  7.475D+00
   39   43     0     0  con    0  1.0D+00  8.9D-04  3.510D-01  7.474D+00
   40   44     0     0  con    0  1.0D+00  2.6D-03  3.443D-01  7.472D+00
   41   45     0     0  con    0  1.0D+00  3.7D-03  3.426D-01  7.471D+00
   42   46     0     0  con    0  1.0D+00  9.3D-03  1.270D+00  7.469D+00
   43   47     0     0  con    0  1.0D+00  5.1D-03  4.175D-01  7.467D+00
   44   48     0     0  con    0  1.0D+00  1.3D-03  2.259D-01  7.466D+00
   45   49     0     0  con    0  1.0D+00  3.2D-03  2.826D-01  7.465D+00
   46   50     0     0  con    0  1.0D+00  5.6D-03  8.719D-01  7.464D+00
   47   51     0     0  con    0  1.0D+00  1.4D-03  3.556D-01  7.463D+00
   48   52     0     0  con    0  1.0D+00  2.4D-03  1.903D-01  7.462D+00
   49   53     0     0  con    0  1.0D+00  2.9D-03  2.622D-01  7.461D+00
   50   54     0     0  con    0  1.0D+00  4.7D-03  4.834D-01  7.460D+00
   51   56     0     0  con    1  3.8D-01  4.1D-03  4.311D-01  7.459D+00
   52   57     0     0  con    0  1.0D+00  3.5D-03  1.743D-01  7.458D+00
   53   58     0     0  con    0  1.0D+00  2.2D-03  1.700D-01  7.458D+00
   54   59     0     0  con    0  1.0D+00  4.0D-03  3.457D-01  7.457D+00
   55   60     0     0  con    0  1.0D+00  5.8D-03  4.877D-01  7.456D+00
   56   61     0     0  con    0  1.0D+00  1.2D-03  2.200D-01  7.455D+00
   57   62     0     0  con    0  1.0D+00  2.5D-03  1.917D-01  7.454D+00
   58   63     0     0  con    0  1.0D+00  3.0D-03  2.198D-01  7.454D+00
   59   64     0     0  con    0  1.0D+00  8.8D-03  7.055D-01  7.453D+00
   60   65     0     0  con    0  1.0D+00  7.8D-03  3.039D-01  7.451D+00
   61   66     0     0  con    0  1.0D+00  1.8D-03  2.363D-01  7.450D+00
   62   67     0     0  con    0  1.0D+00  5.7D-03  3.576D-01  7.449D+00
   63   68     0     0  con    0  1.0D+00  7.1D-03  6.988D-01  7.448D+00
   64   69     0     0  con    0  1.0D+00  5.5D-03  5.035D-01  7.446D+00
   65   70     0     0  con    0  1.0D+00  2.2D-02  5.468D-01  7.442D+00
   66   71     0     0  con    0  1.0D+00  1.7D-02  8.943D-01  7.441D+00
   67   72     0     0  con    0  1.0D+00  3.8D-03  6.369D-01  7.438D+00
   68   73     0     0  con    0  1.0D+00  1.9D-02  4.851D-01  7.433D+00
   69   74     0     0  con    0  1.0D+00  1.5D-02  4.562D-01  7.431D+00
   70   76     0     0  con    1  4.1D-01  1.5D-02  8.915D-01  7.429D+00
   71   77     0     0  con    0  1.0D+00  1.9D-02  3.452D-01  7.426D+00
   72   78     0     0  con    0  1.0D+00  1.1D-02  2.959D-01  7.424D+00
   73   79     0     0  con    0  1.0D+00  1.7D-02  6.506D-01  7.421D+00
   74   80     0     0  con    0  1.0D+00  1.8D-02  6.613D-01  7.419D+00
   75   81     0     0  con    0  1.0D+00  3.4D-03  4.647D-01  7.416D+00
   76   82     0     0  con    0  1.0D+00  1.3D-02  5.058D-01  7.412D+00
   77   83     0     0  con    0  1.0D+00  1.6D-02  6.907D-01  7.409D+00
